epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.7272,1.38144,3.70971,1.527,0.0025,0.42857,0.00519,0.00336,1.50347,4.17279,1.95368,0,0,0
2,3.33393,1.52191,3.35743,1.74832,0.0025,0.42857,0.00523,0.00356,1.51556,4.2655,1.95602,1.9604e-05,1.9604e-05,1.9604e-05
3,4.93735,1.28037,3.13594,1.58443,0.0025,0.42857,0.00551,0.00378,1.478,4.21405,1.90549,3.8416e-05,3.8416e-05,3.8416e-05
4,6.42849,1.25206,3.30312,1.47406,0.00333,0.57143,0.00746,0.00413,1.49544,4.08584,1.83459,5.6436e-05,5.6436e-05,5.6436e-05
5,7.94406,1.0239,3.14516,1.37788,0.00333,0.57143,0.00911,0.00652,1.48907,4.17222,1.84925,7.3664e-05,7.3664e-05,7.3664e-05
6,9.42701,0.94744,2.93967,1.33017,0.00333,0.57143,0.01536,0.0093,1.46532,4.20024,1.76732,9.01e-05,9.01e-05,9.01e-05
7,11.1897,0.89863,2.99724,1.22009,0.00417,0.71429,0.02336,0.01257,1.55378,4.10755,1.68518,0.000105744,0.000105744,0.000105744
8,12.7375,0.8662,2.66832,1.20965,0.00333,0.57143,0.02978,0.01591,1.61822,4.22219,1.59894,0.000120596,0.000120596,0.000120596
9,14.2591,0.88002,2.77024,1.24891,0.00417,0.71429,0.02978,0.0176,1.5339,4.05279,1.35224,0.000134656,0.000134656,0.000134656
10,15.7773,0.80183,2.63174,1.08602,0.00417,0.71429,0.02702,0.0143,1.50097,3.75798,1.22693,0.000147924,0.000147924,0.000147924
11,17.3101,0.89185,2.39248,1.18967,0.00417,0.71429,0.02874,0.01505,1.60617,3.64675,1.23731,0.0001604,0.0001604,0.0001604
12,18.8135,0.73864,2.30785,1.06498,0.00417,0.71429,0.03696,0.01879,1.70697,3.65125,1.26911,0.000172084,0.000172084,0.000172084
13,20.3349,0.74441,1.81057,1.0808,0.00417,0.71429,0.15311,0.07671,1.81022,3.55386,1.32322,0.000182976,0.000182976,0.000182976
