epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.07063,1.49665,3.82143,1.67506,0.0025,0.42857,0.00523,0.00355,1.51817,4.23849,1.96862,2e-05,2e-05,2e-05
2,16.3066,1.3155,3.15649,1.59392,0.0025,0.42857,0.00736,0.00357,1.43841,4.20422,1.90779,5.8812e-05,5.8812e-05,5.8812e-05
3,24.2355,1.15561,2.98306,1.4475,0.00333,0.57143,0.01524,0.00918,1.44936,4.27659,1.76983,9.604e-05,9.604e-05,9.604e-05
4,32.1713,1.09478,2.95275,1.27791,0.00417,0.71429,0.05348,0.03139,1.59393,3.92896,1.46913,0.000131684,0.000131684,0.000131684
5,40.0844,0.97039,2.64853,1.25414,0.00417,0.71429,0.08773,0.04294,1.71892,3.74185,1.34877,0.000165744,0.000165744,0.000165744
6,48.0824,0.83849,2.5853,1.13406,0.00417,0.71429,0.10485,0.05,1.68888,3.72595,1.26597,0.00019822,0.00019822,0.00019822
7,56.227,0.86083,2.35128,1.18845,0.00417,0.71429,0.11669,0.0545,1.69786,3.56066,1.2928,0.000229112,0.000229112,0.000229112
8,64.2383,0.857,2.06101,1.13384,0.00417,0.71429,0.20511,0.10557,1.72131,3.52682,1.31951,0.00025842,0.00025842,0.00025842
9,72.259,0.83212,1.87415,1.10337,0.00417,0.71429,0.28904,0.15409,1.69392,3.41425,1.35236,0.000286144,0.000286144,0.000286144
10,80.3508,0.68539,1.58629,1.06065,0.18279,0.28571,0.29049,0.17575,1.66114,3.30568,1.35845,0.000312284,0.000312284,0.000312284
11,88.3421,0.77422,1.73221,1.10041,1,0.23283,0.29079,0.18102,1.72767,3.33666,1.42037,0.00033684,0.00033684,0.00033684
12,96.3065,0.7971,1.5367,1.00064,1,0.23283,0.29079,0.18102,1.72767,3.33666,1.42037,0.000359812,0.000359812,0.000359812
13,104.323,0.86399,1.65921,1.16952,0.56068,0.14286,0.20658,0.12358,1.72493,3.29573,1.4339,0.0003812,0.0003812,0.0003812
14,112.321,0.64575,1.23068,0.96103,0.13822,0.14286,0.17876,0.12409,1.6538,3.31369,1.38666,0.000401004,0.000401004,0.000401004
15,120.25,0.79324,1.57198,1.02895,0.13822,0.14286,0.17876,0.12409,1.6538,3.31369,1.38666,0.000419224,0.000419224,0.000419224
16,128.228,0.91136,1.47534,1.03131,0.58202,0.14286,0.17883,0.13891,1.56588,3.32847,1.34937,0.00043586,0.00043586,0.00043586
17,136.325,0.7408,1.45003,1.09177,0.7137,0.14286,0.22118,0.15414,1.51047,3.33274,1.28792,0.000450912,0.000450912,0.000450912
18,144.446,0.78571,1.33719,1.0372,0.7137,0.14286,0.22118,0.15414,1.51047,3.33274,1.28792,0.00046438,0.00046438,0.00046438
19,152.442,0.8438,1.39375,1.00825,0.81057,0.14286,0.20755,0.13865,1.51086,3.30432,1.26499,0.000476264,0.000476264,0.000476264
20,160.393,0.77874,1.28371,1.0646,0.81057,0.14286,0.20755,0.13865,1.51086,3.30432,1.26499,0.000486564,0.000486564,0.000486564
21,168.426,0.91006,1.33071,1.07475,0.73711,0.14286,0.17934,0.10595,1.63856,3.34637,1.29501,0.00049528,0.00049528,0.00049528
22,176.4,0.70109,1.31707,1.0116,0.73711,0.14286,0.17934,0.10595,1.63856,3.34637,1.29501,0.000502412,0.000502412,0.000502412
23,184.416,0.77875,1.39869,1.08835,0.57454,0.14286,0.19293,0.11346,1.81245,3.41188,1.36982,0.00050796,0.00050796,0.00050796
24,192.381,0.79006,1.35152,1.03134,0.57454,0.14286,0.19293,0.11346,1.81245,3.41188,1.36982,0.000511924,0.000511924,0.000511924
25,200.487,0.71939,1.32379,1.02827,0.77742,0.14286,0.2061,0.10464,1.82318,3.3832,1.43442,0.000514304,0.000514304,0.000514304
26,208.417,0.70332,1.31634,1.01111,0.77742,0.14286,0.2061,0.10464,1.82318,3.3832,1.43442,0.0005151,0.0005151,0.0005151
27,216.419,0.70851,1.20889,1.00391,0.77742,0.14286,0.2061,0.10464,1.82318,3.3832,1.43442,0.000514312,0.000514312,0.000514312
28,224.449,0.77656,1.16857,0.92913,0.89588,0.14286,0.19749,0.11746,1.8678,3.40868,1.40236,0.00051194,0.00051194,0.00051194
29,232.397,0.809,1.22224,1.08042,0.89588,0.14286,0.19749,0.11746,1.8678,3.40868,1.40236,0.000507984,0.000507984,0.000507984
30,240.397,0.80142,1.5101,1.00378,0.93861,0.14286,0.20445,0.12215,1.82297,3.33176,1.39561,0.000502444,0.000502444,0.000502444
31,248.448,0.68814,1.16929,0.97718,0.93861,0.14286,0.20445,0.12215,1.82297,3.33176,1.39561,0.00049532,0.00049532,0.00049532
32,256.492,0.57386,1.09213,0.97262,0.93861,0.14286,0.20445,0.12215,1.82297,3.33176,1.39561,0.000486612,0.000486612,0.000486612
